EmployeeNumber,Attrition,EducationField,DistanceFromHome
1,Yes,"Life Sciences",1
2,No,"Life Sciences",8
4,Yes,Other,2
5,No,"Life Sciences",3
7,No,Medical,2
8,No,"Life Sciences",2
10,No,Medical,3
21,No,"Life Sciences",5
23,No,"Life Sciences",2
24,No,"Life Sciences",2
27,Yes,"Life Sciences",9
28,No,"Life Sciences",7
31,Yes,Medical,6
32,No,Other,5
35,No,Marketing,8
36,No,Medical,7
38,No,Marketing,2
39,No,Medical,2
40,No,Other,10
41,No,Medical,9
42,Yes,"Technical Degree",5
45,Yes,Medical,1
46,No,Medical,2
47,Yes,Marketing,3
49,No,Marketing,2
51,No,"Life Sciences",5
52,No,"Life Sciences",1
53,No,Other,4
54,No,"Life Sciences",2
56,No,"Life Sciences",8
57,No,Medical,1
62,No,Marketing,5
63,No,"Life Sciences",8
64,Yes,"Life Sciences",1
65,Yes,"Technical Degree",5
68,No,Marketing,1
73,No,"Life Sciences",1
76,No,"Life Sciences",7
77,No,"Life Sciences",1
78,No,Medical,1
80,No,Medical,7
83,No,"Technical Degree",8
84,No,Medical,8
86,No,"Life Sciences",7
88,No,Medical,1
90,Yes,Medical,9
91,No,"Life Sciences",1
94,No,"Life Sciences",2
95,No,Medical,1
96,No,"Life Sciences",1
97,No,"Life Sciences",6
98,No,"Life Sciences",8
100,No,Marketing,1
101,No,Other,6
102,No,Medical,7
103,No,Medical,5
104,No,"Life Sciences",1
105,No,Medical,1
106,No,"Life Sciences",1
107,No,Medical,6
110,No,Medical,1
112,No,"Life Sciences",7
113,No,"Technical Degree",2
116,No,"Life Sciences",9
117,No,"Life Sciences",2
118,Yes,Medical,9
119,No,"Life Sciences",1
121,No,Medical,4
124,No,Medical,1
125,No,Medical,6
126,No,"Technical Degree",2
128,No,Other,3
129,No,Medical,4
131,No,Medical,10
133,Yes,"Human Resources",6
134,No,"Life Sciences",1
137,Yes,"Life Sciences",6
138,No,Other,6
139,No,"Life Sciences",2
140,No,"Human Resources",2
141,No,"Life Sciences",1
142,Yes,Marketing,5
143,No,Medical,7
145,No,Medical,1
147,Yes,"Life Sciences",7
151,No,"Life Sciences",6
152,No,"Life Sciences",3
153,No,Medical,5
155,No,"Life Sciences",3
162,No,"Life Sciences",6
163,Yes,"Life Sciences",6
164,No,Other,6
169,No,"Technical Degree",2
176,No,"Life Sciences",9
178,No,Medical,6
179,Yes,"Life Sciences",8
182,No,"Life Sciences",4
184,No,"Human Resources",9
190,Yes,Medical,9
193,No,"Technical Degree",3
195,No,Medical,9
197,No,"Technical Degree",5
198,No,Medical,2
199,No,"Life Sciences",10
200,No,"Life Sciences",9
201,No,Medical,3
204,No,Marketing,1
205,No,Marketing,6
206,No,"Life Sciences",9
207,No,Marketing,8
208,No,"Technical Degree",1
211,No,Medical,7
214,No,Medical,9
215,No,Marketing,4
216,No,Marketing,2
218,No,Medical,9
224,No,Medical,3
228,No,"Life Sciences",5
230,No,"Life Sciences",1
231,No,"Life Sciences",6
235,Yes,"Technical Degree",1
238,No,Medical,3
239,No,Medical,9
240,No,"Life Sciences",4
241,No,"Life Sciences",8
242,No,"Life Sciences",2
243,Yes,"Life Sciences",2
244,No,Marketing,1
245,No,"Life Sciences",9
249,No,Medical,1
253,No,Medical,4
256,No,"Life Sciences",2
258,No,Medical,3
259,No,"Life Sciences",1
260,No,Medical,9
262,No,Medical,7
264,No,Medical,2
269,No,Medical,2
271,No,"Life Sciences",2
274,No,"Technical Degree",1
277,No,Medical,10
284,No,"Life Sciences",5
287,No,"Life Sciences",9
288,No,Medical,1
291,Yes,Medical,4
292,No,"Life Sciences",1
296,No,"Life Sciences",8
297,Yes,"Technical Degree",3
298,No,"Life Sciences",6
300,Yes,"Technical Degree",1
302,No,Medical,6
303,No,Marketing,3
304,No,"Life Sciences",5
305,No,Medical,4
307,No,"Life Sciences",3
308,No,Medical,1
309,No,"Life Sciences",3
311,No,Marketing,4
312,No,Medical,1
314,No,Marketing,1
316,No,"Life Sciences",2
319,No,"Technical Degree",4
321,No,Medical,6
323,No,Medical,1
328,Yes,"Life Sciences",2
329,No,"Life Sciences",2
330,No,"Life Sciences",4
331,Yes,"Life Sciences",1
332,No,Medical,1
336,No,Other,1
337,No,Medical,3
338,No,"Life Sciences",5
339,No,"Life Sciences",2
340,No,Medical,1
341,No,"Life Sciences",7
342,Yes,Medical,10
343,No,"Technical Degree",2
350,No,"Life Sciences",1
351,No,Medical,2
352,No,Medical,2
353,No,"Life Sciences",1
359,No,"Life Sciences",7
361,No,"Life Sciences",2
362,No,"Technical Degree",2
363,No,"Technical Degree",2
364,Yes,"Life Sciences",2
366,No,Medical,2
369,No,"Life Sciences",5
373,No,"Life Sciences",6
374,No,Medical,1
377,No,Medical,9
378,No,Medical,6
379,No,Medical,3
380,No,Medical,1
382,No,Medical,7
384,No,"Life Sciences",1
385,No,"Life Sciences",4
386,No,Medical,3
387,No,"Life Sciences",1
388,No,"Life Sciences",2
391,No,"Life Sciences",1
395,No,"Life Sciences",8
396,No,"Life Sciences",10
397,No,"Technical Degree",3
399,No,Marketing,5
401,Yes,Marketing,4
403,No,Medical,9
405,Yes,"Life Sciences",3
408,No,Medical,2
410,No,"Life Sciences",2
411,No,Medical,10
416,No,"Technical Degree",7
417,No,Medical,1
420,No,"Life Sciences",7
422,No,"Life Sciences",1
423,No,"Technical Degree",5
424,No,"Human Resources",2
425,No,"Life Sciences",7
426,No,"Life Sciences",2
428,No,"Life Sciences",5
429,No,Medical,10
430,No,"Life Sciences",10
431,No,"Technical Degree",1
433,Yes,Medical,8
434,No,"Life Sciences",5
436,No,"Technical Degree",8
437,No,"Life Sciences",2
438,No,Marketing,7
439,No,Medical,2
440,Yes,Medical,2
442,No,"Life Sciences",7
444,No,Medical,7
445,Yes,Medical,3
446,No,Marketing,10
447,No,"Life Sciences",5
448,No,"Life Sciences",10
449,No,Marketing,1
451,No,"Life Sciences",7
452,No,Other,8
453,No,Medical,1
454,Yes,Other,8
455,No,Other,9
456,No,Marketing,5
458,No,Marketing,8
460,No,Medical,5
462,No,Medical,7
463,No,Marketing,10
464,No,"Technical Degree",5
466,No,Medical,6
467,No,Medical,4
469,No,"Life Sciences",2
470,No,"Technical Degree",2
471,No,Medical,2
474,No,Medical,6
476,No,"Life Sciences",1
477,No,Other,2
478,Yes,"Technical Degree",1
479,No,Medical,1
481,No,Medical,3
482,No,Medical,1
483,No,"Life Sciences",10
484,No,Medical,9
485,Yes,Marketing,5
486,No,Medical,10
487,No,Medical,7
488,Yes,Marketing,4
491,No,"Technical Degree",10
493,No,"Life Sciences",9
496,No,"Life Sciences",9
497,No,Medical,1
498,No,"Life Sciences",9
499,No,Other,7
501,No,"Life Sciences",2
505,No,"Life Sciences",2
507,No,Marketing,10
508,No,"Technical Degree",2
510,Yes,"Technical Degree",3
513,No,Medical,2
514,Yes,"Technical Degree",4
516,No,Marketing,2
517,No,"Life Sciences",1
518,No,"Life Sciences",10
521,No,Medical,2
522,No,Medical,5
523,No,Marketing,4
524,No,Medical,7
526,No,Other,8
527,No,"Life Sciences",4
530,No,"Life Sciences",1
531,No,"Life Sciences",1
532,No,"Life Sciences",6
534,No,Marketing,1
538,Yes,Medical,3
543,No,Medical,3
544,No,"Life Sciences",10
546,No,"Life Sciences",4
548,No,"Life Sciences",2
549,No,"Life Sciences",7
554,Yes,"Technical Degree",1
555,Yes,Marketing,6
556,No,"Life Sciences",2
558,No,"Life Sciences",2
562,No,"Life Sciences",3
564,No,Medical,3
566,Yes,"Technical Degree",2
571,No,Medical,2
574,No,Medical,2
575,No,"Life Sciences",2
578,No,"Life Sciences",8
579,No,"Life Sciences",2
580,No,Marketing,10
581,No,"Life Sciences",9
584,Yes,Medical,10
585,No,Marketing,7
591,No,Other,5
592,No,Medical,10
593,Yes,"Technical Degree",4
595,No,Marketing,2
599,No,"Life Sciences",10
600,No,Marketing,1
601,No,"Life Sciences",6
602,No,"Life Sciences",8
604,No,"Life Sciences",2
606,No,Other,2
612,No,Medical,1
613,No,"Life Sciences",7
614,Yes,Marketing,5
616,No,Other,2
620,No,Medical,1
623,No,"Technical Degree",1
625,No,"Life Sciences",2
626,No,Medical,9
630,No,"Technical Degree",6
634,No,Medical,10
635,No,"Life Sciences",1
644,No,Medical,3
647,Yes,"Life Sciences",7
649,No,"Life Sciences",1
653,No,Medical,6
655,No,Medical,6
656,No,Marketing,2
657,No,"Life Sciences",1
659,No,"Life Sciences",2
661,No,Other,6
662,No,"Life Sciences",1
663,No,Medical,9
664,No,"Life Sciences",1
665,No,"Life Sciences",1
667,Yes,Marketing,2
671,No,Other,3
675,No,Medical,6
677,No,Marketing,8
679,No,"Life Sciences",9
680,No,Medical,3
682,No,Medical,1
683,No,"Life Sciences",1
686,No,"Life Sciences",6
689,No,Other,3
690,No,Medical,3
691,No,"Life Sciences",6
692,No,"Life Sciences",6
699,No,Medical,9
700,No,Medical,3
701,Yes,Medical,10
702,Yes,"Life Sciences",3
704,No,"Life Sciences",3
705,No,Medical,4
707,No,"Life Sciences",8
709,No,Marketing,7
710,No,"Life Sciences",1
712,No,Marketing,2
714,No,Medical,3
715,No,"Life Sciences",10
717,No,Medical,9
720,Yes,"Life Sciences",3
721,No,"Technical Degree",2
722,No,Marketing,10
723,Yes,"Technical Degree",8
724,No,"Life Sciences",1
725,No,"Life Sciences",1
727,No,"Life Sciences",3
729,No,"Life Sciences",5
730,No,"Life Sciences",7
731,No,"Human Resources",10
733,No,"Life Sciences",10
734,No,"Human Resources",1
738,No,Marketing,8
741,Yes,"Life Sciences",1
742,No,"Life Sciences",8
743,No,"Life Sciences",1
746,No,Medical,3
749,No,"Life Sciences",10
757,No,Medical,8
758,No,Medical,9
760,No,"Human Resources",3
762,No,Medical,9
763,No,Medical,2
764,No,Medical,7
766,No,Marketing,10
769,No,"Life Sciences",6
771,No,"Life Sciences",2
773,No,Medical,2
775,No,"Life Sciences",8
776,No,Marketing,3
780,Yes,Other,1
783,No,"Technical Degree",2
784,No,Medical,10
786,No,Other,2
787,Yes,Medical,2
789,No,"Life Sciences",8
792,No,"Life Sciences",1
796,Yes,"Technical Degree",8
797,No,"Life Sciences",1
800,No,Marketing,8
802,No,"Life Sciences",10
803,No,"Life Sciences",2
804,No,Medical,2
805,No,"Life Sciences",8
806,No,"Life Sciences",1
807,No,Medical,2
808,No,"Life Sciences",8
809,No,"Life Sciences",8
811,Yes,"Life Sciences",6
812,No,"Life Sciences",9
815,No,Medical,2
816,Yes,"Life Sciences",1
817,No,Medical,7
820,No,Other,2
823,No,Other,1
825,Yes,"Life Sciences",2
826,No,"Life Sciences",1
827,No,"Life Sciences",1
828,Yes,Medical,2
830,No,"Life Sciences",4
833,No,Medical,2
834,No,"Life Sciences",2
842,Yes,Medical,2
844,No,"Technical Degree",5
845,No,Other,7
846,No,Marketing,2
847,No,"Human Resources",3
848,Yes,Medical,5
850,No,Medical,3
852,No,Medical,4
854,No,Medical,2
855,No,Medical,1
857,No,"Life Sciences",1
861,No,"Life Sciences",5
862,No,Marketing,7
864,No,Marketing,9
865,No,Medical,8
869,No,Medical,8
872,No,"Life Sciences",1
874,No,"Life Sciences",8
875,No,Medical,2
878,No,"Life Sciences",8
879,No,Other,3
880,No,"Life Sciences",9
882,No,"Life Sciences",1
885,No,Marketing,4
887,No,"Technical Degree",1
888,No,"Life Sciences",4
889,No,"Life Sciences",5
893,No,Marketing,9
894,No,"Life Sciences",3
896,Yes,Medical,1
897,No,Marketing,8
902,No,"Life Sciences",1
903,No,Marketing,2
905,No,"Life Sciences",2
