EmployeeNumber,Age,Attrition,Gender,Department,Experience
19,28,Yes,Male,"Research & Development",5
24,38,No,Male,"Research & Development",5
68,44,No,Female,Sales,5
80,50,No,Female,"Research & Development",5
139,37,No,Male,"Research & Development",5
155,36,No,Female,"Research & Development",5
192,45,No,Male,"Research & Development",5
197,30,No,Female,"Research & Development",5
269,35,No,Female,"Research & Development",5
274,27,No,Male,"Research & Development",5
296,51,No,Male,"Research & Development",5
297,30,Yes,Female,"Research & Development",5
299,30,Yes,Female,Sales,5
325,33,Yes,Male,"Research & Development",5
327,43,No,Female,Sales,5
404,42,No,Female,Sales,5
408,51,No,Male,"Research & Development",5
440,28,Yes,Male,"Research & Development",5
538,25,Yes,Male,"Research & Development",5
549,60,No,Female,"Research & Development",5
565,29,Yes,Female,"Research & Development",5
574,47,No,Female,"Research & Development",5
593,22,Yes,Male,"Research & Development",5
618,26,No,Male,Sales,5
624,46,No,Female,"Research & Development",5
729,40,No,Male,Sales,5
787,55,Yes,Male,"Research & Development",5
808,34,No,Female,Sales,5
815,50,No,Male,"Research & Development",5
819,33,Yes,Female,Sales,5
833,30,No,Female,"Research & Development",5
865,32,No,Female,"Research & Development",5
875,42,No,Male,"Research & Development",5
897,53,No,Male,Sales,5
900,37,No,Female,Sales,5
930,28,No,Female,"Research & Development",5
970,37,Yes,Male,Sales,5
982,30,No,Male,Sales,5
1033,37,Yes,Female,"Research & Development",5
1076,43,No,Male,Sales,5
1212,40,No,Male,Sales,5
1217,46,No,Male,"Research & Development",5
1254,59,No,Female,Sales,5
1258,48,No,Male,"Research & Development",5
1375,40,No,Female,"Research & Development",5
1431,34,No,Male,"Research & Development",5
1447,34,No,Female,"Research & Development",5
1487,29,Yes,Female,Sales,5
1496,44,No,Male,"Research & Development",5
1599,43,No,Male,"Research & Development",5
1656,50,No,Female,"Research & Development",5
1694,55,No,Male,"Research & Development",5
1733,36,Yes,Male,Sales,5
1771,33,No,Male,"Research & Development",5
1779,34,No,Female,Sales,5
1803,42,No,Male,"Research & Development",5
1805,38,No,Male,"Human Resources",5
